idx,Manufacturer,Brand,surfaceLetter,pstatus,words,citation,imgurl
2,Gevaert,Tonex,,notp,warm-toned portrait paper,"Popular Photography, May 1950, page 209",scans/image00209.jpg
2,Gevaert,Tonex,,notp,warm-toned portrait paper,"Popular Photography, November 1950, page 125",scans/image00125.jpg
2,Gevaert,Tonex,,notp,"...versatile, flexible chloro-bromide paper...warm black to reddish tones by varying the development.","Popular Photography, December 1950, page 157",scans/image00157.jpg
2,Gevaert,Tonex,,notp,warm-toned portrait paper,"Popular Photography, February 1951, page 159",scans/image00159.jpg
2,Gevaert,Tonex,,notp,A flexible; versatile chloro-bromide paper...warm black to reddish tones by varying the development.,"Popular Photography, October 1951, page 113",scans/image00113.jpg
2,Gevaert,Tonex,,notp,Unusually versatile chloro-bromide warm blacks to reddish tones simply by varying the development.,"Popular Photography, November 1951, page 142",scans/image00142.jpg
2,Gevaert,Tonex,,notp,"Versatile, flexible, chloro-bromide...warm black to reddish tones by varying the developer.","Popular Photography, December 1951, page 275",scans/image00275.jpg
3,Gevaert,Novabrom,,pmeasured,the old standby of the press and commercial photographer as well as the amateur,"Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
3,Gevaert,Novabrom,,pmeasured,"bromide, enlarging, normal speed, photo murals","Popular Photography, May 1950, page 140",scans/image00140.jpg
4,Gevaert,Bromoil,,notp,"expressly created for the bromoil artist, takes ink superbly","Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
5,Gevaert,Larjex,,notp,for fast contact printing and photo-finishing,"Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
5,Gevaert,Larjex,,notp,"chloride, contact-enlarging, fast, oversize prints, optical printers, glossy","Popular Photography, May 1950, page 140",scans/image00140.jpg
6,Gevaert,Multi-Contrast,,notp,"for rapid photo-finishing, wide contrast range","Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
6,Gevaert,Multi-Contrast,,notp,"chloride, enlarging, fast, strip printers and optical printers","Popular Photography, May 1950, page 140",scans/image00140.jpg
7,Gevaert,Novagas,,pmeasured,a contact paper of exceptional latitude and uniform tone,"Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
7,Gevaert,Novagas,,pmeasured,"chloride, contact, normal speed, wide latitude in printing, glossy surface","Popular Photography, May 1950, page 140",scans/image00140.jpg
8,Gevaert,Proof,,notp,both projection and P.O.P.,"Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
9,Kodak,Medalist,,pmeasured,"Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces—including glossy F, fine-grained lustre G, and sparkling high-lustre J—and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.","Photography Annual, 1954, page 231",scans/PhotographyAnnual_54_231.jpg
9,Kodak,Medalist,,pmeasured,"For finer prints,choose a paper that gives free rein to your skill—like the harpstrings under a musician’s hands...A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice—glossy, pure-white F, for finest detail and news-type prints; delicately-textured cream-white G, the all-around favorite, that helps subdue grain in big prints from small negatives; smooth, white, sparkling high-lustre J, superb for snow and water scenes; white, finely-textured E; and Medalist Y—cream white in a glittering silk-textured finish. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep.cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed. Let your Kodak dealer show you his sample book of Kodak Medalist Papers—make your choice—and you can begin enjoying finer prints today.","Photography Annual, 1955, page 233",scans/PhotographyAnnual_55_233.jpg
9,Kodak,Medalist,,pmeasured,"Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces—including glossy F, fine-grained lustre G, and sparkling high-lustre J—and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.","Photography Annual, 1956, page 228",scans/PhotographyAnnual_56_228.jpg
9,Kodak,Medalist,,pmeasured,"This new Kodak projection paper brings you an entirely new combination of desirable features. It has just the right degree of warmth to enhance the best qualities of the majority of your pictures. It has just the right speed to make its handling in the darkroom easy and pleasurable...and the speed of all four contrast grades is essentially the same. The big news, though, is in the outstanding flexibility of this new paper. By varying the ratio of exposure and development, contrasts can be sharply changed in the finished print without any degradation of the quality or tone. Long exposure and short development result in a soft print. Short exposure and prolonged development increase contrast in the print. This factor—with the four grades of contrast in which Kodak Medalist Paper will be available—means that you will now be able to obtain easily a completely graduated range of contrasts to match the requirements of any negative. Kodak Medalist Paper tones beautifully. Use Kodak Brown Toner, Kodak Sepia Toner, Kodak Blue Toner, hypo-alum, or Kodak Toner T-7a. Kodak Medalist Paper is available in four degrees of contrast and three surfaces.","Popular Photography, November 1951, page 110",scans/image00110.jpg
9,Kodak,Medalist,,pmeasured,"warmth, richness, high-speed, crispness","Popular Photography, January 1953, page 73",scans/image00073.jpg
9,Kodak,Medalist,,pmeasured,"Kodak does not offer Medalist as a ‘‘universal’’ paper—but it does have a unique combination of fine qualities...rich warm blacks, excellenc printing speed, a full range of contrast grades all matched in speed, excellent choice of surfaces, excellent response to toning, and superior flexibilicy of contrast control by varying the ratio of exposure to development. This combination is no accident; it was evolved through long research because serious workers asked for just such a paper.","Popular Photography, January 1953, page 73",scans/image00073.jpg
9,Kodak,Medalist,,pmeasured,"For fast printing, fine warm-black tones, and great flexibility in manipulation.","Popular Photography, January 1953, page 73",scans/image00073.jpg
9,Kodak,Medalist,,pmeasured,"fine display prints required in quantity, speedy","Popular Photography, March 1953, page 82",scans/image00082.jpg
9,Kodak,Medalist,,pmeasured,"Kodak Medalist—faster than Opal, warmer than Kodabromide, flexible in manipulation and contrast control, with four contrast grades and an excellent range of surface choices—has become the new sensation of the Kodak paper family.","Popular Photography, March 1953, page 81",scans/image00081.jpg
9,Kodak,Medalist,,pmeasured,"For fast printing, fine warm-black tones, and great flexibility in manipulation","Popular Photography, March 1953, page 81",scans/image00081.jpg
9,Kodak,Medalist,,pmeasured,"Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.","Popular Photography, April 1953, page 80",scans/image00080.jpg
9,Kodak,Medalist,,pmeasured,"chlorobromide, enlarging, fast, rich black tones; all-purpose enlarging paper for commercial, pictorial, and illustrative photography","Popular Photography, May 1953, page 144",scans/image00144.jpg
9,Kodak,Medalist,,pmeasured,"richness, plus speed, plus flexibility of manipulation and contrast control, warm-black","Popular Photography, October 1953, page 93",scans/image00093.jpg
9,Kodak,Medalist,,pmeasured,"for learning, easy-to-handle, a range of contrast grades, to fit both short-scale and long-scale negatives","Popular Photography, October 1953, page 93",scans/image00093.jpg
9,Kodak,Medalist,,pmeasured,"...warm-black tone that enhances the mood of most subjects...the high speed, uniform in all contrast grades...and the great flexibility of contrast control. Comes in a good range of textures and contrast grades, singleweight and doubleweight.","Popular Photography, November 1953, page 81",scans/image00081.jpg
9,Kodak,Medalist,,pmeasured,"Infinite choice...with Kodak Medalist Paper. Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be tuned to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades. In brief, it is the most remarkable photographic paper in many years. If you are seeking a finer medium for your work—if you have not yet discovered what Kodak Medalist Paper can do for you.","Popular Photography, January 1954, page 62",scans/image00062.jpg
9,Kodak,Medalist,,pmeasured,"You'll print them easier, and better, and bigger with Kodak Medalist Paper. YOU get better enlargements, with less work, when you use Kodak Medalist Paper. Medalist brings you quality—rich blacks, clear sparkling whites, a full range of crisp middle tones. Medalist has the right speed—fast enough for rapid print production—yet gives you adequate time for proper dodging and manipulation. Medalist is easy to handle—rugged, and uniform in response from sheet to sheet. Medalist is precise—its responsiveness to contrast control enables you to match each negative perfectly, for top print quality. Medalist is flexible—lets you choose between soft-tone, normal-range, or brilliant-contrast prints from the same negative—simply by varying the exposure and development time. Medalist is versatile—can be after-toned to a warm brown or beautiful blue grays...gives you five surface choices, to match the mood of each subject. And Medalist is convenient—because all its contrast grades, 1 through 4, are closely related in exposure speed.","Popular Photography, February 1954, page 70",scans/image00070 (2).jpg
9,Kodak,Medalist,,pmeasured,"...it’s wise to start with one basic paper you can rely on for consistently good results. We suggest Kodak Medalist Paper. You'll find Medalist is an easy paper to use because it offers such wide latitude in printing and developing time. It gives you the quality you want; rich warm blacks, clear sparkling whites, a full range of crisp middle tones. Medalist is easy to handle, a rugged paper that’s uniform in response from sheet to sheet. It’s fast enough to get out a lot of prints in an evening, yet allows plenty of time for dodging and manipulating.","Popular Photography, March 1954, page 81",scans/image00081.jpg
9,Kodak,Medalist,,pmeasured,"A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...In Kodak Medalist Paper, you can enjoy a printing medium worthy of your finest camera work. It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed.","Popular Photography, April 1954, page 218",scans/image00218.jpg
9,Kodak,Medalist,,pmeasured,for fine enlargements,"Popular Photography, November 1954, page 90",scans/image00090.jpg
10,Kodak,Kodabromide,,pmeasured,true neutral blacks,"Photography Annual, 1954, page 231",scans/PhotographyAnnual_54_231.jpg
10,Kodak,Kodabromide,,pmeasured,neutral blacks,"Photography Annual, 1956, page 228",scans/PhotographyAnnual_56_228.jpg
10,Kodak,Kodabromide,,pmeasured,"This high-speed, high-quality, high-latitude chlorobromide enlarging paper is the ranking favorite—easy to manage, and available in five evenly spaced contrast grades to fit the scale of almost any negative. The favorite salon types are E (white, fine grained, lustre), G (cream white, fine grained, lustre), and P (old ivory, fine grained, lustre). ‘Fine grained’ denotes a delicately pebbled texture which subdues graininess in high-ratio enlargements from small negatives—yet does not break down the effect of fine detail. “Lustre” identifies a pleasing surface sparkle—just enough to lend life to the print surface, but not so insistent as to impair visibility of the image. Among these papers, the three stock tints give you a primary basis for selection. The rich ivory tint is your natural choice for scenes which suggest or include firelight, candlelight, or lamplight... for character studies and strongly masculine portrait studies...and wherever you desire an efiect of extreme warmth or a feeling of mellow antiquity. Pure white, at the opposite end of the tint scale, is the apt choice for seascapes, snow scenes, and other cool, high-key subjects—as well as full-scale subjects which require brilliant white, cool neutral grays, and rich cold blacks in the print. Kodabromide Paper N (white, smooth, lustre) is a favored exhibition paper for subjects rich in fine detail and delicate in gradation.","Popular Photography, February 1950, page 20",scans/image00020.jpg
10,Kodak,Kodabromide,,pmeasured,"chlorobromide, enlarging, fast, rich black tones, full-scale emulsion, for commercial, pictorial, news work","Popular Photography, May 1950, page 140",scans/image00140.jpg
10,Kodak,Kodabromide,,pmeasured,"for most enlarging, in a choice of five evenly spaced contrasts and several surfaces","Popular Photography, October 1950, page 85",scans/image00085.jpg
10,Kodak,Kodabromide,,pmeasured,"There’s Kodabromide Paper—most popular of all enlarging papers—fast, easy to handle, with generous exposure latitude, excellent choice of tints and surfaces, and five evenly spaced contrasts.","Popular Photography, September 1951, page 89",scans/image00089.jpg
10,Kodak,Kodabromide,,pmeasured,crisp,"Popular Photography, January 1953, page 73",scans/image00073.jpg
10,Kodak,Kodabromide,,pmeasured,"For rich neutral blacks in a top-speed paper. Five evenly spaced grades and nine combinations of sheen, texture, tint, and weight.","Popular Photography, January 1953, page 73",scans/image00073.jpg
10,Kodak,Kodabromide,,pmeasured,"For rich neutral blacks in a top-speed paper. Five evenly spaced grades and nine combinations of sheen, texture, tint, and weight.","Popular Photography, March 1953, page 81",scans/image00081.jpg
10,Kodak,Kodabromide,,pmeasured,true neutral blacks,"Popular Photography, April 1953, page 80",scans/image00080.jpg
10,Kodak,Kodabromide,,pmeasured,"chlorobromide, enlarging, fast, rich black tones, full-scale emulsion, for commercial, pictorial, news work","Popular Photography, May 1953, page 144",scans/image00144.jpg
10,Kodak,Kodabromide,,pmeasured,"high production, when you want a number of big prints in a short time, rugged, top-speed","Popular Photography, October 1953, page 93",scans/image00093.jpg
10,Kodak,Kodabromide,,pmeasured,"for learning, easy-to-handle, a range of contrast grades, to fit both short-scale and long-scale negatives","Popular Photography, October 1953, page 93",scans/image00093.jpg
10,Kodak,Kodabromide,,pmeasured,"...cool, neutral-black tones...its high speed, fastest of all Kodak enlarging papers...and its ruggedness, with emulsion physically hardened to resist abrasion. Available in a wide range of textures and contrast grades.","Popular Photography, November 1953, page 81",scans/image00081.jpg
10,Kodak,Kodabromide,,pmeasured,true neutral blacks,"Popular Photography, January 1954, page 62",scans/image00062.jpg
10,Kodak,Kodabromide,,pmeasured,rich neutral blacks in a top-speed paper,"Popular Photography, February 1954, page 70",scans/image00070 (2).jpg
10,Kodak,Kodabromide,,pmeasured,"If you’re the impatient type, or if your darkroom time is very limited, Kodabromide Paper may suit you even better than Medalist. Kodabromide is an extra high speed paper that lets you turn out more prints in an evening, or make bigger prints with shorter exposures. The blacks are rich, cool, and deep, the highlights clear and bright. Kodabromide has a hardened emulsion, which means it is resistant to scratching and abrasion during development. And it has a wide range of textures, can take care of a variety of subjects.","Popular Photography, March 1954, page 81",scans/image00081.jpg
10,Kodak,Kodabromide,,pmeasured,for fine enlargements,"Popular Photography, November 1954, page 90",scans/image00090.jpg
11,Kodak,Medalist,F,pmeasured,glossy,"Photography Annual, 1954, page 231",scans/PhotographyAnnual_54_231.jpg
11,Kodak,Medalist,F,pmeasured,"glossy, pure-white, for finest detail and news-type prints","Photography Annual, 1955, page 233",scans/PhotographyAnnual_55_233.jpg
11,Kodak,Medalist,F,pmeasured,glossy,"Photography Annual, 1956, page 228",scans/PhotographyAnnual_56_228.jpg
11,Kodak,Medalist,F,pmeasured,"This new Kodak projection paper brings you an entirely new combination of desirable features. It has just the right degree of warmth to enhance the best qualities of the majority of your pictures. It has just the right speed to make its handling in the darkroom easy and pleasurable...and the speed of all four contrast grades is essentially the same. The big news, though, is in the outstanding flexibility of this new paper. By varying the ratio of exposure and development, contrasts can be sharply changed in the finished print without any degradation of the quality or tone. Long exposure and short development result in a soft print. Short exposure and prolonged development increase contrast in the print. This factor—with the four grades of contrast in which Kodak Medalist Paper will be available—means that you will now be able to obtain easily a completely graduated range of contrasts to match the requirements of any negative. Kodak Medalist Paper tones beautifully. Use Kodak Brown Toner, Kodak Sepia Toner, Kodak Blue Toner, hypo-alum, or Kodak Toner T-7a. Kodak Medalist Paper is available in four degrees of contrast and three surfaces. White stock tint, Smooth texture, Glossy sheen—Single Weight.","Popular Photography, November 1951, page 110",scans/image00110.jpg
11,Kodak,Medalist,F,pmeasured,"Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades. Glossy sheen.","Popular Photography, April 1953, page 80",scans/image00080.jpg
11,Kodak,Medalist,F,pmeasured,glossy,"Popular Photography, October 1953, page 93",scans/image00093.jpg
11,Kodak,Medalist,F,pmeasured,"Infinite choice...with Kodak Medalist Paper. Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be tuned to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades. In brief, it is the most remarkable photographic paper in many years. If you are seeking a finer medium for your work—if you have not yet discovered what Kodak Medalist Paper can do for you. Glossy sheen.","Popular Photography, January 1954, page 62",scans/image00062.jpg
11,Kodak,Medalist,F,pmeasured,"A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...In Kodak Medalist Paper, you can enjoy a printing medium worthy of your finest camera work. It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed. Glossy sheen, pure white stock tint, for finest detail and news-type prints","Popular Photography, April 1954, page 218",scans/image00218.jpg
11,Kodak,Medalist,F,pmeasured,"Finally, we asked our photoengraver. After all, he has the practical problem of making good halftone plates from the print. Good clean blacks. Glossy sheen. Lots of snap. Don’t give me dull-surfaced prints or I'll have to grease ’em.","Popular Photography, November 1954, page 90",scans/image00090.jpg
12,Kodak,Medalist,G,pmeasured,fine-grained lustre,"Photography Annual, 1954, page 231",scans/PhotographyAnnual_54_231.jpg
12,Kodak,Medalist,G,pmeasured,"delicately-textured cream-white, the all-around favorite, that helps subdue grain in big prints from small negatives","Photography Annual, 1955, page 233",scans/PhotographyAnnual_55_233.jpg
12,Kodak,Medalist,G,pmeasured,fine-grained lustre,"Photography Annual, 1956, page 228",scans/PhotographyAnnual_56_228.jpg
