mentionType,mentions,man,bran,idx,x,y,surfaceBadge,surfaceName,surfaceLetter,Manufacturer,Brand
gevaert gevaluxe,"[{'words': 'The incomparable high quality suede fibrous surface making this wide-range projection paper a work of art', 'citation': 'Photography Annual, 1954, page 247', 'imgurl': 'scans/PhotographyAnnual_54_247.jpg'}]",gevaert,gevaluxe,14,4,2,0,,,Gevaert,Gevaluxe
gevaert gevatone,"[{'words': 'NEW flexible warm toned projection paper with SPEED-silk, semi-matte brilliant, and matte-surfaces', 'citation': 'Photography Annual, 1954, page 247', 'imgurl': 'scans/PhotographyAnnual_54_247.jpg'}]",gevaert,gevatone,15,0,3,0,,,Gevaert,Gevatone
kodak medalist E,"[{'words': 'white, finely-textured', 'citation': 'Photography Annual, 1955, page 233', 'imgurl': 'scans/PhotographyAnnual_55_233.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...In Kodak Medalist Paper, you can enjoy a printing medium worthy of your finest camera work. It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed. Fine texture.', 'citation': 'Popular Photography, April 1954, page 218', 'imgurl': 'scans/image00218.jpg'}]",kodak,medalist E,16,1,3,1,Kodak E,E,Kodak,Medalist
kodak medalist Y,"[{'words': 'cream white in a glittering silk-textured finish', 'citation': 'Photography Annual, 1955, page 233', 'imgurl': 'scans/PhotographyAnnual_55_233.jpg'}, {'words': 'silk texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'cream white stock tint, glittering silk texture', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...In Kodak Medalist Paper, you can enjoy a printing medium worthy of your finest camera work. It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed. Cream white stock tint, glittering silk texture', 'citation': 'Popular Photography, April 1954, page 218', 'imgurl': 'scans/image00218.jpg'}]",kodak,medalist Y,17,2,3,1,Kodak Y,Y,Kodak,Medalist
kodak panalure,"[{'words': 'panchromatic-quality black-and-white enlargements', 'citation': 'Photography Annual, 1959, page 244', 'imgurl': 'scans/PhotographyAnnual_59_244.jpg'}]",kodak,panalure,18,3,3,0,,,Kodak,Panalure
ansco cykora,"[{'words': 'A perfect picture of warmth! Not in the subject matter, perhaps...but in the wonderful depth and richness of modeling that says to you instantly, “Here is a scene that will print to maximum advantage on wide-latitude Ansco Cykora Paper.” In addition to its other desirable qualities, Cykora is fast, almost as fast as cold-toned bromide papers. Cykora tones beautifully, too, giving you outstanding quality on every possible count. For portraiture, salon work or for any picture that you’ve marked “special” in your mind, use Ansco Cykora, in your choice of contrasts, weights and surfaces. For superior results, develop Cykora in Ansco Ardol Prepared Developer.', 'citation': 'Popular Photography, February 1950, page 2', 'imgurl': 'scans/image00002.jpg'}, {'words': ""Versatile—because Cykora gives sparkling enlargements of outstanding salon quality. You get sharply defined image tones; pleasing detail over a wide tonal range. Versatile—because it’s a paper with greater resistance to fog and stain. Versatile—because Cykora gives you toned prints of admirable warmth and beauty. Try Cykora in Ansco Direct Sepia Toner. Consider all these advantages and you'll understand why Cykora’s all-around performance is becoming the photographer’s popular standby today!"", 'citation': 'Popular Photography, October 1950, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': ""What makes salon quality? That's a tough question. Seems that everybody has his own idea of just what salon quality is. But if it calls for a paper that can translate the subtle nuances of tone and gradation—give you print performance far beyond expectations—then that paper is Cykora. Performance is everywhere in a Cykora enlargement. In the sparkling highlights . . . in the warm middle tones . . . in the deep, rich, luminous shadows. Everywhere, you'll find the kind of re-production that makes for true exhibition quality. Ansco Cykora comes in evenly spaced contrast grades which greatly simplify your problem of getting the most nearly perfect “match” between negative and paper. See what big strides you’ll make in print quality! For warm tones develop in Ansco Ardol; for cold tones, in Ansco Vividol."", 'citation': 'Popular Photography, February 1951, page 4', 'imgurl': 'scans/image00004.jpg'}, {'words': 'This excellent projection paper gives you enlargements that have the warmest image tones consistent, with high speed...for that professional “luxury” look. Going a step farther, Cykora tones beautifully and accepts oils with flattering ease.', 'citation': 'Popular Photography, November 1951, page 6', 'imgurl': 'scans/image00006.jpg'}, {'words': ""Don’t think for a minute that you're limiting yourself to a narrow range of print possibilities when you make Ansco Cykora the “standard” paper in your darkroom. Rather, your increased familiarity with Cykora will give you new freedom in getting exactly the qualities you want in your finished prints! That's partly because Cykora comes in a good selection of surfaces, ranging from the textured Kashmir to the popular Cykora Glossy which are all available in evenly spaced contrast grades that match most negatives. Bur most of all, it’s because Cykora’s rich emulsion gives you unusual exposure-development latitude, and is readily responsive to various developers and toners. For example, Cykora yields tones of pleasing warmth when developed in Ansco Ardol, while Vividol developer produces stronger, more neutral blacks. Both of these Ansco developers are laboratory-packaged for your convenience. Remember, the more familiar you become with Ansco Cykora, the happier you'll be with your prints!"", 'citation': 'Popular Photography, January 1953, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': 'chlorobromide, enlarging, fast, for portraits and commercial illustration', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': ""For Richer Warm-Tone Enlargements Choose ANSCO CYKORA PAPER! More and more photographers are discovering how much richness Ansco Cykora Paper can add to their enlargements. That’s because warm-tone Cykora has the unique ability to record subtle separations between a wide range of delicate middle tones, while still retaining plenty of punch and sparkle for shadow and highlight areas. You'll find Cykora in a good choice of surfaces for any kind of subject, and in evenly spaced contrast grades that match practically any negative worth enlarging."", 'citation': 'Popular Photography, October 1953, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': ""You get more than snap and sparkle in snowscapes on Ansco Cykora! Your snow scenes have a richer look in enlargements on Ansco Cykora—for reasons that are easy to understand. Recording the brilliant highlights of sunlit perfection is only part of what Cykora does for your favorite snowscape negatives. In addition, it retains all the subtle gradations of middle tones and shadows that lend substance and richness to your pictures. It is this unique ability to record both the brilliance and the myriad middletones of a scene that makes Cykora the choice of so many successful photographers. You'll find Cykora at your dealer’s in a good selection of surfaces and contrast grades. For tones of pleasing warmth, develop Cykora in Ansco Ardol. For stronger, neutral tones, use Ansco Vividol. Enlarge this winter’s snow scenes on Cykora—and see how much more richly they sparkle!"", 'citation': 'Popular Photography, December 1953, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': 'For the beginner...or the old hand, Ansco Cykora...the paper youll never outgrow. Both the beginner and the old hand need the outstanding qualities and characteristics of Cykora enlarging paper. A superior paper like Cykora has clean working properties, a good scale of middle tones and the ability to record detail throughout a full density range. These are just a few reasons why Cykora is a paper that delivers top flight enlargements from every good negative. They explain why Cykora gives an added measure of that important ingredient of every successful picture—outstanding print quality. Cykora is easy to handle. There is little difference in speed between contrast grades—a big time and paper-saving advantage in every darkroom. For rich black tones, develop Cykora in Ansco Ardol; for sparkling blacks, use Ansco Vividol. Get both of these efficient, long-lasting developers—laboratory-packaged for your convenience and protection. Beginner or old hand, try Cykora today. You’ll get better prints!', 'citation': 'Popular Photography, March 1954, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': 'For prints alive with summertime sparkle, enlarge on Ansco Cykora Paper! Enlargements made on Ansco Cykora retain all the beauty and excitement of white sails curving in the wind, the changing moods of sea and summer sky. That’s because of Cykora’s unique ability to record subtle separations between middle tones while still rendering bold highlights and rich shadows. Whatever the subject of your negative, Cykora will put more warmth and brilliance into your enlargements. The good selection of Cykora surfaces allows you to choose the one that’s just right for your subject, and its evenly spaced contrast grades permit outstanding enlargements from any good negative. Another important advantage of Cykora is its unusual exposure-development latitude. You can vary the image tones of Cykora, too. For pleasant neutral black tones, develop in Ansco Ardol. Ansco Vividol gives stronger black image tones. Both developers are laboratory prepared for your convenience.', 'citation': 'Popular Photography, May 1954, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': ""For star performances in the darkroom and in salon competition, you can’t do better than to choose Ansco Cykora Paper. Its high speed keeps exposures conveniently short, even when you're making really big enlargements with relatively slow enlargers. And once you’ve made your exposure, Cykora’s wide latitude goes to work to compensate for any minor exposure errors you may have made. The result is a print of brilliant gradation and warm image tones that’s especially appealing to your eye...and to the jury's, too! Supplied in a choice of contrasts."", 'citation': 'Popular Photography, March 1955, page 2', 'imgurl': 'scans/PopularPhotography_Mar55_002.jpg'}]",ansco,cykora,19,4,3,0,,,Ansco,Cykora
kodak kodabromide E,"[{'words': 'white, fine grained, lustre', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}, {'words': 'Most popular of all Kodak enlarging papers for general use. Has the high speed and tonal characteristics of Resisto Rapid—rich blacks and clear sparkling whites—with a wider choice of contrast grades and surfaces. High exposure and development latitude make it easy-to-handle; physically hardened emulsion allows fast handling. White stock tint, fine-grained texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,kodabromide E,20,0,4,1,Kodak E,E,Kodak,Kodabromide
kodak kodabromide G,"[{'words': 'cream white, fine grained, lustre', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}, {'words': 'Most popular of all Kodak enlarging papers for general use. Has the high speed and tonal characteristics of Resisto Rapid—rich blacks and clear sparkling whites—with a wider choice of contrast grades and surfaces. High exposure and development latitude make it easy-to-handle; physically hardened emulsion allows fast handling. Cream white stock tint, fine-grained texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,kodabromide G,21,1,4,1,Kodak G,G,Kodak,Kodabromide
kodak kodabromide P,"[{'words': 'old ivory, fine grained, lustre', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}]",kodak,kodabromide P,22,2,4,1,Kodak P,P,Kodak,Kodabromide
kodak platino,"[{'words': 'This high-speed enlarging paper has won wide popularity because of the moderately warm image tone it yields upon development. It comes in Contrasts 1, 2, and 3—for normal and flat negatives—and surface types P (2 and 3 only), F, G, and Y (cream white, silk, lustre). The sparkling, silky texture of this last type enhances some portraits, still-life studies, and snow or water scenes.', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}, {'words': 'warm-tone', 'citation': 'Popular Photography, February 1950, page 24', 'imgurl': 'scans/image00024.jpg'}, {'words': 'chlorobromide, enlarging, fast, higher speed printing, full scale', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'for somewhat warmer blacks and easy handling', 'citation': 'Popular Photography, October 1950, page 85', 'imgurl': 'scans/image00085.jpg'}, {'words': ""Kodak Platino Paper is a rich 'warm black' paper, about half as fast as Kodabromide, and about three times as fast as Kodak Opal. It offers a tempting six-point combination of qualities—tonal richness, good working speed, three contrasts to accommodate most negatives, good choice of stock tints and surfaces, ease of manipulation, and adaptability to after-toning for extra warmth. Crisp, sparkling highlights and deep, velvety shadows—product of a thick, silver-rich emulsion. Natural warmth without special development—a true warm black that teams beautifully with cream white and old ivory paper tints. And speed that permits you to expose big 14x17 and 16x20 exhibition prints without counting “thousand-one, thousand-two” all night. Fits Every Subject. What subjects go best on Platino? Any subjects."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}, {'words': 'For rich warm blacks in a moderate-speed paper. Three printing grades.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'For rich warm blacks in a moderate-speed paper. Three printing grades.', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chlorobromide, enlarging, fast, higher speed printing, full scale', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'rich warm blacks in a moderate-speed paper', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': 'faster than Opal, slightly less warm in tone, comes in three printing grades', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,platino,23,3,4,0,,,Kodak,Platino
kodak platino Y,"[{'words': 'cream white, silk, lustre. The sparkling, silky texture of this last type enhances some portraits, still-life studies, and snow or water scenes.', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}, {'words': ""If you need a fine warm-tone paper and Kodak Opal is too slow—by all means choose Platino. Its rich emulsion yields prints of magnificent tonal range and quality; three contrasts accommodate most negatives; and there's a good choice of surfaces. For extra warmth, after-tone it with Kodak Brown Toner to a rich chocolate brown, This paper is gaining wide acceptance. Cream white stock tint, silk texture, lustre sheen."", 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': ""Kodak Platino Paper is a rich 'warm black' paper, about half as fast as Kodabromide, and about three times as fast as Kodak Opal. It offers a tempting six-point combination of qualities—tonal richness, good working speed, three contrasts to accommodate most negatives, good choice of stock tints and surfaces, ease of manipulation, and adaptability to after-toning for extra warmth. Crisp, sparkling highlights and deep, velvety shadows—product of a thick, silver-rich emulsion. Natural warmth without special development—a true warm black that teams beautifully with cream white and old ivory paper tints. And speed that permits you to expose big 14x17 and 16x20 exhibition prints without counting “thousand-one, thousand-two” all night. Fits Every Subject. What subjects go best on Platino? Any subjects. And for marine scenes, high-key landscapes, and other subjects with delicacy and sparkle—give Platino Y a whirl. Platino Y has a silky, clothlike texture and sheen, on cream white stock."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}]",kodak,platino Y,24,4,4,1,Kodak Y,Y,Kodak,Platino
kodak opal,"[{'words': 'This moderate-speed chlorobromide enlarging paper is definitely for the expert—and rich in promise for those who take the pains to master it. It yields a warm image upon development, and is notable for the extreme delicacy of its gradation, and for the clean separation and luminous transparency of the image tones. There is but one contrast for normal negatives—with a choice often tint-texture types, including such luxurious surfaces as suede matte, tapestry, and fine grained high lustre. No other paper offers so wide a range of choice for the discriminating user.', 'citation': 'Popular Photography, February 1950, page 20', 'imgurl': 'scans/image00020.jpg'}, {'words': 'warm-tone', 'citation': 'Popular Photography, February 1950, page 24', 'imgurl': 'scans/image00024.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, portraits, exhibition prints, warm tones, full scale, wide variety of surfaces', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'choice of the masters, in a stimulating choice of thirteen tint-and-texture combinations', 'citation': 'Popular Photography, October 1950, page 85', 'imgurl': 'scans/image00085.jpg'}, {'words': ""There’s Kodak Opal Paper—top choice of the meticulous salon worker who knows supreme quality when he sees it, and won't settle for anything less."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}, {'words': 'salon prints', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'For widest choice of tint and surface in a paper of utmost tonal quality and adaptability to toning—brown-black. One printing grade.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': ""Personal prints for Susan's mother-"", 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'For widest choice of tint and surface in a paper of utmost tonal quality and adaptability to toning—brown-black. One printing grade.', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, portraits, exhibition prints, warm tones, full scale, wide variety of surfaces', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': '...utmost salon quality...The beautiful luminosity of the Opal image, the delicacy of its tones, have made Opal the favorite of all exhibition papers for the expert. Moderate speed; one contrast grade only; many choices of sheen, tint, and texture.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'richer warmth...and for superior exhibition work, when you require enlargements of the finest quality. It’s slower than Kodabromide or Medalist, but offers great flexibility of manipulation and tonal effects. Available in doubleweight only, one contrast grade (for normal negatives), and in 13 surfaces.', 'citation': 'Popular Photography, November 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'widest choice of tint and surface; the long-time favorite of all salon papers', 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': 'comes in many unusual surfaces such as suede matte and strong-textured tapestry luster', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': '...professional-type paper, widely used for salon prints where great warmth of tone and a long scale of values are desired. It offers more tint and texture combinations than any other paper we make. One grade only, for “normal-contrast” negatives', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for hanging at home', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,opal,25,0,5,0,,,Kodak,Opal
ansco indiatone,"[{'words': 'Indiatone’s superb performance under all conditions. For here is a versatile paper. It gives you excellent keeping qualities and stability—and an amazingly wide latitude that allows development anywhere from 45 seconds to 4 minutes. Yet with all these advantages, quality is never sacrificed. Indiatone responds beautifully to toning. It takes oil colors easily, effectively. It yields distinctive, eye-catching tones ranging from warm olive-black to soft brown-black.', 'citation': 'Popular Photography, March 1950, page 2', 'imgurl': 'scans/image00002.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, portrait, warm toned, good for sepia, gold tone', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'Versatile, too! It gives you excellent keeping qualities and stability—and an amazingly wide latitude that allows development over a range extending from 45 seconds to 4 minutes! Yet quality is never Sacrificed. Indiatone responds beautifully to development, yielding warm olive- to brown-black enlargements that are a standout in any salon! And Indiatone gives strikingly attractive reddish-sepia images in Ansco Liquid Flemish Toner.', 'citation': 'Popular Photography, December 1950, page 5', 'imgurl': 'scans/image00005.jpg'}, {'words': 'chlorobromide, enlarging, normal speed, portrait, warm tone, good for sepia, gold tone', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'exceptionally warm-toned paper, tops among papers producing rich brown-black images. It has very wide exposure-development latitude, and yields superbly-beautiful reddish-brown images when used with Flemish Toner', 'citation': 'Popular Photography, March 1955, page 2', 'imgurl': 'scans/PopularPhotography_Mar55_002.jpg'}]",ansco,indiatone,26,1,5,0,,,Ansco,Indiatone
